# Starfield Protected Terms - High Quality Subset
# Total terms: 1889
# Format: Term,Category
# Curated for use in TermProtector (lower noise than comprehensive).

# === COMPANIES & CORPORATIONS (25) ===
Neuroboost,proper_noun
Neurocom,proper_noun
Neurotac,proper_noun
Nevan,proper_noun
Newill,proper_noun
Newill's,proper_noun
Newton,proper_noun
Ngata,proper_noun
Ngodup,proper_noun
Nichols,proper_noun
Nicolaus,proper_noun
Niira's,proper_noun
Nikola,proper_noun
Nilesh,proper_noun
Nimitz,proper_noun
Nina's,proper_noun
Nirah,proper_noun
Nirvana,proper_noun
Nishikawa,proper_noun
Nishina,proper_noun
Nitrogen,proper_noun
Nobody's,proper_noun
Noel's,proper_noun
Nonlethal,proper_noun
Notebook,proper_noun
Novalight,proper_noun
Nozzle,proper_noun
Nuptials,proper_noun
Nutrient,proper_noun
Nutrition's,proper_noun
Nymph,proper_noun
Nyssa,proper_noun
Nyssa's,proper_noun
Nyx's,proper_noun
O'shea,proper_noun
Obliterator,proper_noun
Observer,proper_noun
Occisio,proper_noun
Occupations,proper_noun
Octavio,proper_noun
Octopede,proper_noun
Of-a-kind,proper_noun
Oishii,proper_noun
Okadigbo,proper_noun
Okoro,proper_noun
Okoye,proper_noun
Oktai,proper_noun
Oliver,proper_noun
Omega,proper_noun
Operator,proper_noun
Ophion,proper_noun
Ophiuchi,proper_noun
Optic,proper_noun
Orchid,proper_noun
Orion,proper_noun
Orlase's,proper_noun
Orora,proper_noun
Ortiz,proper_noun
Orval,proper_noun
Orwell,proper_noun
Osaka,proper_noun
Osian,proper_noun
Osterholt,proper_noun
Oswalt,proper_noun
Otero,proper_noun
Outfitters,proper_noun
Outland,proper_noun
Outsider,proper_noun
Ovadia,proper_noun
Overseer,proper_noun
Oyama,proper_noun
Pandora's,proper_noun
Panoptes,proper_noun
Panopticon,proper_noun
Parcel,proper_noun
Parduk,proper_noun
Parker,proper_noun
Particulates,proper_noun
Patel,proper_noun
Paulson,proper_noun
Paxton,proper_noun
Peacemaker,proper_noun
Pearl,proper_noun
Pedestal,proper_noun
Pelican,proper_noun
Penetrator,proper_noun
Penitent,proper_noun
Percival's,proper_noun
Peter,proper_noun
Peter's,proper_noun
Petrosyan,proper_noun
Petrov,proper_noun
Petrov's,proper_noun
Petyarre,proper_noun
Phalanx,proper_noun
Phantom,proper_noun
Pharmaceutical,proper_noun
Phases,proper_noun
Philip,proper_noun
Philippe,proper_noun
Phobos,proper_noun
Phoebe,proper_noun
Piazzi,proper_noun
Pikup,proper_noun
Pilgrim,proper_noun
Pilgrim's,proper_noun
Pillars,proper_noun
Pip-boy,proper_noun
Pipeline,proper_noun
Pipes,proper_noun
Pitcher,proper_noun
Planter,proper_noun
Plaque,proper_noun
Plateau,proper_noun
Platinum,proper_noun
Plato,proper_noun
Plushie,proper_noun
Polis,proper_noun
Polvo,proper_noun
Porter,proper_noun
Porthole,proper_noun
Poseidon,proper_noun
Positron,proper_noun
Powerplant,proper_noun
Pragmatist,proper_noun
Pragmatists,proper_noun
Preeminent,proper_noun
President,proper_noun
Pretorius,proper_noun
Primer,proper_noun
Prism,proper_noun
Prisoner's,proper_noun
Pritchard,proper_noun
Privateer,proper_noun
Probes,proper_noun
Proctor,proper_noun
Procyon,proper_noun
Procyon-b,proper_noun
Protector,proper_noun
Protectorate,proper_noun
Protonius,proper_noun
Provisioner,proper_noun
Proxima,proper_noun
Pryce,proper_noun
Pterosaur,proper_noun
Pulaski,proper_noun
Pulse,proper_noun
Pumice,proper_noun
Puncture,proper_noun
Pylons,proper_noun
Pyraas,proper_noun
Quantum,proper_noun
Quartermaster,proper_noun
Queen,proper_noun
Quill,proper_noun
Qwerty,proper_noun
Radcliff,proper_noun
Radcliff's,proper_noun
Radiator,proper_noun
Radley,proper_noun
Rafael,proper_noun
Rafiq,proper_noun
Ragana,proper_noun
Raiders,proper_noun
Railgun,proper_noun
Rails,proper_noun
Railstar,proper_noun
Raises,proper_noun
Rake's,proper_noun
Rambler,proper_noun
Ramsay,proper_noun
Ranger,proper_noun
Ranger's,proper_noun
Rangers,proper_noun
Raptor,proper_noun
Rayna,proper_noun
Reactor,proper_noun
Reactors,proper_noun
Realty,proper_noun
Rebecca,proper_noun
Receiver,proper_noun
Reckoner,proper_noun
Reckoner's,proper_noun
Reconstim,proper_noun
Reflex,proper_noun
Regen,proper_noun
Reginald,proper_noun
Regulator,proper_noun
Reilly,proper_noun
Reisha,proper_noun
Reladyne,proper_noun
Reliant,proper_noun
Reliant's,proper_noun
Renee's,proper_noun
Renegades,proper_noun
Renick,proper_noun
Renick's,proper_noun
Reptans,proper_noun
Responder,proper_noun
Retreat,proper_noun
Retreat's,proper_noun
Reyez,proper_noun
Ricardo,proper_noun
Richardson,proper_noun
Rikkard,proper_noun
Riser,proper_noun
Rivas,proper_noun
Rivera,proper_noun
Rivkah,proper_noun
Rivkah's,proper_noun
Riyanti,proper_noun
Rizky,proper_noun
Roamer,proper_noun
Roanoke,proper_noun
Roberts,proper_noun
Robin,proper_noun
Rocky,proper_noun
Rodriguez,proper_noun
Roger,proper_noun
Rokov,proper_noun
Rokov's,proper_noun
Romack,proper_noun
Roman,proper_noun
Roosevelt,proper_noun
Roosevelt's,proper_noun
Roost,proper_noun
Rosie,proper_noun
Roundshell,proper_noun
Rover,proper_noun
Rowland,proper_noun
Royce,proper_noun
Runner's,proper_noun
Ryczek,proper_noun
Ryujin,proper_noun
Ryujin's,proper_noun
Saburo's,proper_noun
Sadler,proper_noun
Sagan,proper_noun
Sahar,proper_noun
Sahar's,proper_noun
Saint-george,proper_noun
Saito,proper_noun
Sakharov,proper_noun
Saliha,proper_noun
Salinas,proper_noun
Salvato,proper_noun
Salzo,proper_noun
Salzo's,proper_noun
Sam's,proper_noun
Sammie,proper_noun
Samson,proper_noun
Samund,proper_noun
Sanctum,proper_noun
Sandin,proper_noun
Sandy,proper_noun
Sanon's,proper_noun
Saoirse,proper_noun
Sarah,proper_noun
Sarah's,proper_noun
Sarkin,proper_noun
Sarklonn,proper_noun
Sarrklon,proper_noun
Sasha,proper_noun
Saturn,proper_noun
Saturn's,proper_noun
Sauvage,proper_noun
Sauvage's,proper_noun
Savior,proper_noun
Scarab,proper_noun
Scepter,proper_noun
Schrodinger,proper_noun
Scissors,proper_noun
Scorpius,proper_noun
Scott,proper_noun
Scripture,proper_noun
Seahorse,proper_noun
Sebastian,proper_noun
Secondus,proper_noun
Security's,proper_noun
Semi-automatic,proper_noun
Sengsavahn,proper_noun
Sengsavahn's,proper_noun
Sentinel,proper_noun
Seokguh,proper_noun
Seokguh's,proper_noun
Sergeant,proper_noun
Serpent,proper_noun
Serpent's,proper_noun
Serpentis,proper_noun
Serrano,proper_noun
Settler,proper_noun
Sextant,proper_noun
Shadid,proper_noun
Shaker,proper_noun
Shale,proper_noun
Shanghai,proper_noun
Shannon,proper_noun
Shardhopper,proper_noun
Shards,proper_noun
Sheila,proper_noun
Shell,proper_noun
Shellephant,proper_noun
Shepherd,proper_noun
Shepherd's,proper_noun
Shibata,proper_noun
Shinya,proper_noun
Shinya's,proper_noun
Shipbuilder,proper_noun
Shiproach,proper_noun
Shipwreck,proper_noun
Shocktroop,proper_noun
Shoza,proper_noun
Shrapnel,proper_noun
Shrub,proper_noun
Shussalina,proper_noun
Shutter,proper_noun
Si'ah,proper_noun
Sidecap,proper_noun
Sidestar,proper_noun
Sieghart,proper_noun
Sieghart's,proper_noun
Sigma,proper_noun
Silverfish,proper_noun
Simmons,proper_noun
Simon's,proper_noun
Simone,proper_noun
Sinclair's,proper_noun
Singh,proper_noun
Siren,proper_noun
Siren's,proper_noun
Sirens,proper_noun
Sirius,proper_noun
Sisters,proper_noun
Sivan,proper_noun
Sixth,proper_noun
Skyler,proper_noun
Slayton,proper_noun
Slayton's,proper_noun
Sleepcrate,proper_noun
Slinger,proper_noun
Slipstream,proper_noun
Sloan's,proper_noun
Sloop,proper_noun
Slushy,proper_noun
Snead,proper_noun
Sniper,proper_noun
Societies,proper_noun
Sohla,proper_noun
Solomon,proper_noun
Solomon's,proper_noun
Sona's,proper_noun
Sonic,proper_noun
Sonny,proper_noun
Sood's,proper_noun
Spacefarer's,proper_noun
Spacer,proper_noun
Spacetruk,proper_noun
Spades,proper_noun
Sparrow,proper_noun
Sparta,proper_noun
Speaker,proper_noun
Spear,proper_noun
Spear's,proper_noun
Specter,proper_noun
Spice,proper_noun
Spine,proper_noun
Spitter,proper_noun
Spore,proper_noun
Sprain,proper_noun
Spritz,proper_noun
Ssnn's,proper_noun
Stalk,proper_noun
Stalker,proper_noun
Stalkers,proper_noun
Stanley,proper_noun
Stanza,proper_noun
Starboard,proper_noun
Starborn's,proper_noun
Starfreight,proper_noun
Starhawk,proper_noun
Starrett,proper_noun
Starsap,proper_noun
Starview,proper_noun
Staryard,proper_noun
Staryards,proper_noun
Stasiuk,proper_noun
Steel,proper_noun
Stefanie,proper_noun
Stellarator,proper_noun
Stellis,proper_noun
Stimulant,proper_noun
Stimulants,proper_noun
Stinger,proper_noun
Stingray,proper_noun
Stocker,proper_noun
Stoneroot,proper_noun
Storeroom,proper_noun
Stormax,proper_noun
Stormrider,proper_noun
Stratos,proper_noun
Strickland,proper_noun
Striker,proper_noun
Strikers,proper_noun
Strix,proper_noun
Stroud,proper_noun
Stroud's,proper_noun
Stroud-eklund's,proper_noun
Stylus,proper_noun
Substrate,proper_noun
Subsurface,proper_noun
Sugiyama,proper_noun
Sumeria,proper_noun
Sunflower,proper_noun
Sunray,proper_noun
Sunsail,proper_noun
Supaku,proper_noun
Super-admin,proper_noun
Supernova,proper_noun
Supervisor's,proper_noun
Suppressor,proper_noun
Supra,proper_noun
Surveyor's,proper_noun
Suvorov,proper_noun
Suzanne,proper_noun
Svalinn,proper_noun
Swimmer,proper_noun
Swist,proper_noun
Sylvie,proper_noun
Synapse,proper_noun
Syndicate,proper_noun
Syndicate's,proper_noun
Synergies,proper_noun
Synthameat,proper_noun
Syracuse,proper_noun
Syrma,proper_noun
Sysdef,proper_noun
Sysdef's,proper_noun
Szczerbiak,proper_noun
Tactical,proper_noun
Tahir,proper_noun
Taiyo's,proper_noun
Tal'at,proper_noun
Talia,proper_noun
Tallan,proper_noun
Tanskler,proper_noun
Tantalum,proper_noun
Tardigrade,proper_noun
Target's,proper_noun
Tasine,proper_noun
Taskmaster,proper_noun
Tatienne,proper_noun
Tavern,proper_noun
Tawny,proper_noun
Tectonics,proper_noun
Tempest,proper_noun
Temple,proper_noun
Temples,proper_noun
Terminus,proper_noun
Terra,proper_noun
Terrabrew's,proper_noun
Terran,proper_noun
Terrormorph's,proper_noun
Tesla,proper_noun
Tetrafluoride,proper_noun
Tetrafluorides,proper_noun
Teucer,proper_noun
Theresa,proper_noun
Theta,proper_noun
Thibodeau,proper_noun
Thicket,proper_noun
Thomas,proper_noun
Thomas's,proper_noun
Thorn,proper_noun
Thrall,proper_noun
Thresher,proper_noun
Thybulle,proper_noun
Tidacha,proper_noun
Tiers,proper_noun
Tikhov,proper_noun
Tirna,proper_noun
Tissues,proper_noun
Titan's,proper_noun
Titus,proper_noun
Tmd's,proper_noun
Tobias,proper_noun
Tokamak,proper_noun
Tomisar,proper_noun
Tommy,proper_noun
Toroidal,proper_noun
Torpedo,proper_noun
Torres,proper_noun
Tower,proper_noun
Tower's,proper_noun
Tracker,proper_noun
Tracker's,proper_noun
Trackers,proper_noun
Tracksuit,proper_noun
Trajan,proper_noun
Tranquilitea,proper_noun
Tranquilitea's,proper_noun
Transpo,proper_noun
Travers,proper_noun
Trawl,proper_noun
Trench,proper_noun
Trevor's,proper_noun
Trident's,proper_noun
Trilobite,proper_noun
Triton,proper_noun
Triumvirate,proper_noun
Truss,proper_noun
Tseng,proper_noun
Tsukisasu,proper_noun
Tuala,proper_noun
Tuala's,proper_noun
Turbopump,proper_noun
Turret,proper_noun
Tyrant's,proper_noun
Ularu's,proper_noun
Ultra,proper_noun
Ulysses,proper_noun
Unbeliever,proper_noun
Underbelly,proper_noun
Universal,proper_noun
Universals,proper_noun
Universum,proper_noun
Upgrade,proper_noun
Upsilon,proper_noun
Uranus,proper_noun
Users,proper_noun
Va'ruun,proper_noun
Va'ruun's,proper_noun
Valentina,proper_noun
Valerie,proper_noun
Valerie's,proper_noun
Vanguard,proper_noun
Vanguard's,proper_noun
Vanguards,proper_noun
Vanquisher,proper_noun
Vapor,proper_noun
Var'ruun,proper_noun
Variant,proper_noun
Variants,proper_noun
Varuun,proper_noun
Vasco's,proper_noun
Veena's,proper_noun
Venenum,proper_noun
Venus,proper_noun
Verne,proper_noun
Veryl,proper_noun
Vesta,proper_noun
Vesta's,proper_noun
Victis,proper_noun
Victis's,proper_noun
Victor,proper_noun
Vigilance,proper_noun
Vigilance's,proper_noun
Vincent,proper_noun
Vindicator,proper_noun
Vineyards,proper_noun
Violet,proper_noun
Vista,proper_noun
Vladimir's,proper_noun
Voclain,proper_noun
Vogal,proper_noun
Vogel,proper_noun
Vogel's,proper_noun
Volcanic,proper_noun
Voltaire,proper_noun
Vortex,proper_noun
Voyager,proper_noun
Vulpes,proper_noun
Vulture,proper_noun
Vulture's,proper_noun
Vuvuzelisk,proper_noun
Vytinium,proper_noun
Wafer,proper_noun
Wafers,proper_noun
Waggoner,proper_noun
Waggoners,proper_noun
Wagontrain,proper_noun
Walker,proper_noun
Walker's,proper_noun
Walter,proper_noun
Walter's,proper_noun
Wanyan,proper_noun
Warden,proper_noun
Warden's,proper_noun
Warhammer,proper_noun
Warlock,proper_noun
Warlock's,proper_noun
Warlord,proper_noun
Warner,proper_noun
Warrior,proper_noun
Watchdog,proper_noun
Waylon,proper_noun
Well's,proper_noun
Wendigo,proper_noun
Wendy,proper_noun
Wesley,proper_noun
Weston,proper_noun
Wetlands,proper_noun
Whaleshark,proper_noun
Whetstone,proper_noun
Whitehot,proper_noun
Wilby,proper_noun
Wilcox,proper_noun
William,proper_noun
Wilson,proper_noun
Windbag,proper_noun
Windbreaker,proper_noun
Woodard,proper_noun
Woods,proper_noun
Workbench,proper_noun
Workbenches,proper_noun
Workspace,proper_noun
Wraith,proper_noun
Wrapper,proper_noun
Wright,proper_noun
Wyatt,proper_noun
Xenobiologist,proper_noun
Xenoflower,proper_noun
Xenowarfare,proper_noun
Xenoweapon,proper_noun
Xenoweapons,proper_noun
Yankton,proper_noun
Yannick,proper_noun
Yannick's,proper_noun
Yasin,proper_noun
You-you,proper_noun
Ytterbium,proper_noun
Yuko's,proper_noun
Z-machine,proper_noun
Zawadi,proper_noun
Zealot,proper_noun
Zealots,proper_noun
Zeffrex,proper_noun
Zelazny,proper_noun
Zinaida,proper_noun
Zinaida's,proper_noun
Ziremi,proper_noun
Zoologist,proper_noun
Zoologists,proper_noun
Zumwalt,proper_noun

# === WIKI APPEND MERGE (AUTO) ===
Graviton Loop Array,company
United Transport,company
Deep Core,company
Stroud Eklund,company
Amun Dunn,company
Shinigami,company

# ── Skyrim / TES terms (from XLT glossario) ──────────────────────────────────

# ── Fallout terms (from XLT glossario) ───────────────────────────────────────
Vault-Tec,company
V.A.T.S.,lore
SPECIAL,lore
